plot,Date,Time,month,day,hour,min,treatment,temp
1,2022-06-23,00:06:42,6,23,0,6,warming,5.5
1,2022-06-23,01:06:42,6,23,1,6,warming,5
1,2022-06-23,02:06:42,6,23,2,6,warming,5
1,2022-06-23,03:06:42,6,23,3,6,warming,5
1,2022-06-23,04:06:42,6,23,4,6,warming,5
1,2022-06-23,05:06:42,6,23,5,6,warming,5
1,2022-06-23,06:06:42,6,23,6,6,warming,5
1,2022-06-23,07:06:42,6,23,7,6,warming,5
1,2022-06-23,08:06:42,6,23,8,6,warming,5.5
1,2022-06-23,09:06:42,6,23,9,6,warming,6
1,2022-06-23,10:06:42,6,23,10,6,warming,6.5
1,2022-06-23,11:06:42,6,23,11,6,warming,7
1,2022-06-23,12:06:42,6,23,12,6,warming,9
1,2022-06-23,13:06:42,6,23,13,6,warming,11
1,2022-06-23,14:06:42,6,23,14,6,warming,13
1,2022-06-23,15:06:42,6,23,15,6,warming,15
1,2022-06-23,16:06:42,6,23,16,6,warming,16
1,2022-06-23,17:06:42,6,23,17,6,warming,14.5
1,2022-06-23,18:06:42,6,23,18,6,warming,14
1,2022-06-23,19:06:42,6,23,19,6,warming,13
1,2022-06-23,20:06:42,6,23,20,6,warming,12
1,2022-06-23,21:06:42,6,23,21,6,warming,10.5
1,2022-06-23,22:06:42,6,23,22,6,warming,9
1,2022-06-23,23:06:42,6,23,23,6,warming,8
1,2022-06-24,00:06:42,6,24,0,6,warming,7
1,2022-06-24,01:06:42,6,24,1,6,warming,6.5
1,2022-06-24,02:06:42,6,24,2,6,warming,6
1,2022-06-24,03:06:42,6,24,3,6,warming,5
1,2022-06-24,04:06:42,6,24,4,6,warming,5
1,2022-06-24,05:06:42,6,24,5,6,warming,4.5
1,2022-06-24,06:06:42,6,24,6,6,warming,5
1,2022-06-24,07:06:42,6,24,7,6,warming,6.5
1,2022-06-24,08:06:42,6,24,8,6,warming,8
1,2022-06-24,09:06:42,6,24,9,6,warming,10.5
1,2022-06-24,10:06:42,6,24,10,6,warming,11.5
1,2022-06-24,11:06:42,6,24,11,6,warming,14.5
1,2022-06-24,12:06:42,6,24,12,6,warming,16.5
1,2022-06-24,13:06:42,6,24,13,6,warming,20.5
1,2022-06-24,14:06:42,6,24,14,6,warming,23.5
1,2022-06-24,15:06:42,6,24,15,6,warming,25
1,2022-06-24,16:06:42,6,24,16,6,warming,25
1,2022-06-24,17:06:42,6,24,17,6,warming,24
1,2022-06-24,18:06:42,6,24,18,6,warming,23.5
1,2022-06-24,19:06:42,6,24,19,6,warming,21.5
1,2022-06-24,20:06:42,6,24,20,6,warming,19
1,2022-06-24,21:06:42,6,24,21,6,warming,17
1,2022-06-24,22:06:42,6,24,22,6,warming,15.5
1,2022-06-24,23:06:42,6,24,23,6,warming,13
1,2022-06-25,00:06:42,6,25,0,6,warming,12
1,2022-06-25,01:06:42,6,25,1,6,warming,10.5
1,2022-06-25,02:06:42,6,25,2,6,warming,10
1,2022-06-25,03:06:42,6,25,3,6,warming,9.5
1,2022-06-25,04:06:42,6,25,4,6,warming,9.5
1,2022-06-25,05:06:42,6,25,5,6,warming,9
1,2022-06-25,06:06:42,6,25,6,6,warming,8.5
1,2022-06-25,07:06:42,6,25,7,6,warming,9
1,2022-06-25,08:06:42,6,25,8,6,warming,11.5
1,2022-06-25,09:06:42,6,25,9,6,warming,14
1,2022-06-25,10:06:42,6,25,10,6,warming,13
1,2022-06-25,11:06:42,6,25,11,6,warming,15.5
1,2022-06-25,12:06:42,6,25,12,6,warming,16.5
1,2022-06-25,13:06:42,6,25,13,6,warming,19.5
1,2022-06-25,14:06:42,6,25,14,6,warming,21
1,2022-06-25,15:06:42,6,25,15,6,warming,21.5
1,2022-06-25,16:06:42,6,25,16,6,warming,22
1,2022-06-25,17:06:42,6,25,17,6,warming,19.5
1,2022-06-25,18:06:42,6,25,18,6,warming,19.5
1,2022-06-25,19:06:42,6,25,19,6,warming,18
1,2022-06-25,20:06:42,6,25,20,6,warming,17
1,2022-06-25,21:06:42,6,25,21,6,warming,15
1,2022-06-25,22:06:42,6,25,22,6,warming,13.5
1,2022-06-25,23:06:42,6,25,23,6,warming,11.5
1,2022-06-26,00:06:42,6,26,0,6,warming,10
1,2022-06-26,01:06:42,6,26,1,6,warming,9
1,2022-06-26,02:06:42,6,26,2,6,warming,8
1,2022-06-26,03:06:42,6,26,3,6,warming,7.5
1,2022-06-26,04:06:42,6,26,4,6,warming,7
1,2022-06-26,05:06:42,6,26,5,6,warming,7
1,2022-06-26,06:06:42,6,26,6,6,warming,7.5
1,2022-06-26,07:06:42,6,26,7,6,warming,8.5
1,2022-06-26,08:06:42,6,26,8,6,warming,10.5
1,2022-06-26,09:06:42,6,26,9,6,warming,13
1,2022-06-26,10:06:42,6,26,10,6,warming,13.5
1,2022-06-26,11:06:42,6,26,11,6,warming,16.5
1,2022-06-26,12:06:42,6,26,12,6,warming,18
1,2022-06-26,13:06:42,6,26,13,6,warming,22.5
1,2022-06-26,14:06:42,6,26,14,6,warming,25.5
1,2022-06-26,15:06:42,6,26,15,6,warming,26.5
1,2022-06-26,16:06:42,6,26,16,6,warming,26.5
1,2022-06-26,17:06:42,6,26,17,6,warming,25
1,2022-06-26,18:06:42,6,26,18,6,warming,22
1,2022-06-26,19:06:42,6,26,19,6,warming,22.5
1,2022-06-26,20:06:42,6,26,20,6,warming,20
1,2022-06-26,21:06:42,6,26,21,6,warming,18
1,2022-06-26,22:06:42,6,26,22,6,warming,15.5
1,2022-06-26,23:06:42,6,26,23,6,warming,14
1,2022-06-27,00:06:42,6,27,0,6,warming,13.5
1,2022-06-27,01:06:42,6,27,1,6,warming,12.5
1,2022-06-27,02:06:42,6,27,2,6,warming,12
1,2022-06-27,03:06:42,6,27,3,6,warming,11
1,2022-06-27,04:06:42,6,27,4,6,warming,10.5
1,2022-06-27,05:06:42,6,27,5,6,warming,8.5
1,2022-06-27,06:06:42,6,27,6,6,warming,7.5
1,2022-06-27,07:06:42,6,27,7,6,warming,7.5
1,2022-06-27,08:06:42,6,27,8,6,warming,7
1,2022-06-27,09:06:42,6,27,9,6,warming,7
1,2022-06-27,10:06:42,6,27,10,6,warming,6.5
1,2022-06-27,11:06:42,6,27,11,6,warming,6.5
1,2022-06-27,12:06:42,6,27,12,6,warming,6.5
1,2022-06-27,13:06:42,6,27,13,6,warming,6
1,2022-06-27,14:06:42,6,27,14,6,warming,6.5
1,2022-06-27,15:06:42,6,27,15,6,warming,6
1,2022-06-27,16:06:42,6,27,16,6,warming,6.5
1,2022-06-27,17:06:42,6,27,17,6,warming,7
1,2022-06-27,18:06:42,6,27,18,6,warming,7
1,2022-06-27,19:06:42,6,27,19,6,warming,7.5
1,2022-06-27,20:06:42,6,27,20,6,warming,7.5
1,2022-06-27,21:06:42,6,27,21,6,warming,7.5
1,2022-06-27,22:06:42,6,27,22,6,warming,7
1,2022-06-27,23:06:42,6,27,23,6,warming,6.5
1,2022-06-28,00:06:42,6,28,0,6,warming,6
1,2022-06-28,01:06:42,6,28,1,6,warming,5.5
1,2022-06-28,02:06:42,6,28,2,6,warming,5
1,2022-06-28,03:06:42,6,28,3,6,warming,5
1,2022-06-28,04:06:42,6,28,4,6,warming,4.5
1,2022-06-28,05:06:42,6,28,5,6,warming,4
1,2022-06-28,06:06:42,6,28,6,6,warming,4.5
1,2022-06-28,07:06:42,6,28,7,6,warming,5
1,2022-06-28,08:06:42,6,28,8,6,warming,5.5
1,2022-06-28,09:06:42,6,28,9,6,warming,6
1,2022-06-28,10:06:42,6,28,10,6,warming,7.5
1,2022-06-28,11:06:42,6,28,11,6,warming,10
1,2022-06-28,12:06:42,6,28,12,6,warming,12
1,2022-06-28,13:06:42,6,28,13,6,warming,15.5
1,2022-06-28,14:06:42,6,28,14,6,warming,17
1,2022-06-28,15:06:42,6,28,15,6,warming,19.5
1,2022-06-28,16:06:42,6,28,16,6,warming,21
1,2022-06-28,17:06:42,6,28,17,6,warming,20
1,2022-06-28,18:06:42,6,28,18,6,warming,20
1,2022-06-28,19:06:42,6,28,19,6,warming,18
1,2022-06-28,20:06:42,6,28,20,6,warming,16.5
1,2022-06-28,21:06:42,6,28,21,6,warming,15.5
1,2022-06-28,22:06:42,6,28,22,6,warming,13.5
1,2022-06-28,23:06:42,6,28,23,6,warming,12
1,2022-06-29,00:06:42,6,29,0,6,warming,11
1,2022-06-29,01:06:42,6,29,1,6,warming,10.5
1,2022-06-29,02:06:42,6,29,2,6,warming,10.5
1,2022-06-29,03:06:42,6,29,3,6,warming,10
1,2022-06-29,04:06:42,6,29,4,6,warming,10
1,2022-06-29,05:06:42,6,29,5,6,warming,10
1,2022-06-29,06:06:42,6,29,6,6,warming,10
1,2022-06-29,07:06:42,6,29,7,6,warming,10
1,2022-06-29,08:06:42,6,29,8,6,warming,11
1,2022-06-29,09:06:42,6,29,9,6,warming,11
1,2022-06-29,10:06:42,6,29,10,6,warming,9.5
1,2022-06-29,11:06:42,6,29,11,6,warming,8
1,2022-06-29,12:06:42,6,29,12,6,warming,8
1,2022-06-29,13:06:42,6,29,13,6,warming,8.5
1,2022-06-29,14:06:42,6,29,14,6,warming,15
1,2022-06-29,15:06:42,6,29,15,6,warming,18
